runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
THUSAM-S-C-4A,0021,0.1144,0.1177,0.12
THUSAM-S-C-4A,0022,0.4932,0.3216,0.1667
THUSAM-S-C-4A,0023,0.4729,0.3478,0.25
THUSAM-S-C-4A,0024,0.1948,0.2153,0.2571
THUSAM-S-C-4A,0025,0.6202,0.6219,0.6364
THUSAM-S-C-4A,0026,0.4768,0.454,0.45
THUSAM-S-C-4A,0027,0.5308,0.5528,0.6
THUSAM-S-C-4A,0028,0.5484,0.467,0.4074
THUSAM-S-C-4A,0029,0.2655,0.2812,0.32
THUSAM-S-C-4A,0030,0.3164,0.3238,0.36
THUSAM-S-C-4A,0031,0.2845,0.2387,0.2143
THUSAM-S-C-4A,0032,0.4812,0.382,0.3077
THUSAM-S-C-4A,0033,0.0,0.0,0.0
THUSAM-S-C-5A,0001,0.6813,0.6232,0.5714
THUSAM-S-C-5A,0002,0.3818,0.4744,0.5714
THUSAM-S-C-5A,0003,0.3619,0.5353,0.6923
THUSAM-S-C-5A,0004,0.5515,0.4195,0.3
THUSAM-S-C-5A,0005,0.7261,0.6667,0.619
THUSAM-S-C-5A,0006,0.4624,0.4073,0.35
THUSAM-S-C-5A,0007,0.3285,0.2166,0.1304
THUSAM-S-C-5A,0008,0.5683,0.5239,0.5
THUSAM-S-C-5A,0009,0.2435,0.3333,0.4231
THUSAM-S-C-5A,0010,0.3623,0.593,0.8125
THUSAM-S-C-5A,0011,0.2745,0.2954,0.3125
THUSAM-S-C-5A,0012,0.7857,0.6243,0.4667
THUSAM-S-C-5A,0013,0.8529,0.9222,1.0
THUSAM-S-C-5A,0014,0.5012,0.5982,0.72
THUSAM-S-C-5A,0015,0.8356,0.6192,0.4118
