,,FLS,,,SLS,,,,
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,H-score,H-Measure
FRDC-S-C-4A,24,0,0,0,0.1805,0.1774,0.2,0.7,0.12418
FRDC-S-C-4A,25,0.3693,0.3217,0.2,0.3304,0.2864,0.2727,0.9,0.25776
FRDC-S-C-4A,26,0.2265,0.2372,0.2,0.1121,0.1436,0.2,0.3,0.04308
FRDC-S-C-4A,27,0.4335,0.7089,1,0.4427,0.4069,0.4,0.666666667,0.271266667
FRDC-S-C-4A,28,0.2098,0.3768,0.5,0.1144,0.1269,0.1481,0.5,0.06345
FRDC-S-C-4A,29,0.2605,0.3237,0.3333,0.2369,0.2488,0.28,0.8,0.19904
FRDC-S-C-4A,30,0.219,0.2975,0.3333,0.1459,0.174,0.2,0.5,0.087
FRDC-S-C-4A,31,0.2191,0.2986,0.3333,0.1578,0.2568,0.3571,0.6,0.15408
FRDC-S-C-4A,32,0.3373,0.3884,0.5,0.4228,0.4151,0.4231,0.4,0.16604
FRDC-S-C-4A,33,0.2275,0.6377,1,0,0,0,0,0
FRDC-S-C-5A,1,0.565,0.5773,0.6,0.495,0.4896,0.5,0.59,0.3147355
FRDC-S-C-5A,2,0.415,0.5309,0.6,0.2677,0.3748,0.5,0.4375,0.198121875
FRDC-S-C-5A,3,0.6824,0.641,0.6,0.4783,0.4949,0.5385,0.302222222,0.171647111
FRDC-S-C-5A,4,0.2323,0.3907,0.5,0.2233,0.1797,0.15,0.9,0.25668
FRDC-S-C-5A,5,0.3994,0.519,0.6,0.3731,0.4969,0.619,0.866666667,0.440223334
FRDC-S-C-5A,6,0.3546,0.376,0.4,0.3935,0.361,0.35,0.775,0.2855875
FRDC-S-C-5A,7,0.2438,0.3952,0.5,0.0774,0.1695,0.2609,0.3,0.084705
FRDC-S-C-5A,8,0.2369,0.3923,0.5,0.2372,0.3629,0.5,0,0
FRDC-S-C-5A,9,0.5359,0.4558,0.4,0.2447,0.3349,0.4231,0.616666667,0.243799167
