		fls					sls					
runname	id	nDCG@0005	D#nDCG@0005	I-rec@0005	runname	id	nDCG@0050	D#nDCG@0050	I-rec@0050			
FRDC-S-C-1A	32	0.5447	0.3925	0.25	FRDC-S-C-1A	32	0.1932	0.109	0.0385	FRDC-S-C-1A	32	0.133333333
FRDC-S-C-1A	33	0.4549	0.7246	1	FRDC-S-C-1A	33	0	0	0	FRDC-S-C-1A	33	0
FRDC-S-C-2A	1	0.565	0.5773	0.6	FRDC-S-C-2A	1	0.5374	0.6194	0.7143	FRDC-S-C-2A	1	0.532539683
FRDC-S-C-2A	2	0.3508	0.397	0.4	FRDC-S-C-2A	2	0.0917	0.1887	0.2857	FRDC-S-C-2A	2	0.166666667
FRDC-S-C-2A	3	0.4618	0.531	0.6	FRDC-S-C-2A	3	0.2899	0.3647	0.4615	FRDC-S-C-2A	3	0.251666667
FRDC-S-C-2A	4	0.2323	0.3907	0.5	FRDC-S-C-2A	4	0.0451	0.0973	0.15	FRDC-S-C-2A	4	0.6
FRDC-S-C-2A	5	0.3416	0.374	0.4	FRDC-S-C-2A	5	0.3955	0.507	0.619	FRDC-S-C-2A	5	0.403333333
FRDC-S-C-2A	6	0.5003	0.5459	0.6	FRDC-S-C-2A	6	0.3315	0.3034	0.3	FRDC-S-C-2A	6	0.566666667
FRDC-S-C-2A	7	0.2438	0.3952	0.5	FRDC-S-C-2A	7	0.0439	0.0658	0.087	FRDC-S-C-2A	7	0.1
FRDC-S-C-2A	8	0.2369	0.3923	0.5	FRDC-S-C-2A	8	0.0503	0.2752	0.5	FRDC-S-C-2A	8	0.2
FRDC-S-C-2A	9	0.2349	0.2414	0.2	FRDC-S-C-2A	9	0.0427	0.0796	0.1154	FRDC-S-C-2A	9	0.3
FRDC-S-C-2A	10	0.3096	0.3871	0.5	FRDC-S-C-2A	10	0.2269	0.3351	0.4375	FRDC-S-C-2A	10	0.220238095
FRDC-S-C-2A	11	0.6295	0.6816	0.75	FRDC-S-C-2A	11	0.3143	0.408	0.5	FRDC-S-C-2A	11	0.155555556
FRDC-S-C-2A	12	0.2392	0.394	0.5	FRDC-S-C-2A	12	0.157	0.2768	0.4	FRDC-S-C-2A	12	0.2
FRDC-S-C-2A	13	0.3123	0.68	1	FRDC-S-C-2A	13	0.4893	0.7321	1	FRDC-S-C-2A	13	0.5
FRDC-S-C-2A	14	0.3765	0.6653	1	FRDC-S-C-2A	14	0.1698	0.2663	0.36	FRDC-S-C-2A	14	0.22
